index,answer,correct_answer,score,correct
2295,,Emily Blunt,0,FALSE
2296,Jake Jyllenhall,Jake Gyllenhaal,0.941,TRUE
2297,Candice Bergen,Candice Bergen,1,TRUE
2298,Jack black ,Jack Black,1,TRUE
2299,Kate Winslet ,Kate Winslet,1,TRUE
2300,Josh Brolin ,Josh Brolin,1,TRUE
2301,Nicholas cage,Nicholas Cage,1,TRUE
2302,Nicole Kidman ,Nicole Kidman,1,TRUE
2303,Greg kinear,Greg Kinnear,0.95,TRUE
2304,Ryan Gosling,Ryan Gosling,1,TRUE
2305,John Travolta,John Travolta,1,TRUE
2306,Elliot Gould ,Elliott Gould,0.972,TRUE
2307,Elizabeth Perkins,Elizabeth Perkins,1,TRUE
2308,Toni Colette ,Toni Collette,0.98,TRUE
2309,Francis mcdormand,Frances McDormand,0.867,TRUE
2310,David spade,David Spade,1,TRUE
2311,Bridget Fonda,Bridget Fonda,1,TRUE
2312,Marisa Tomei ,Marisa Tomei,1,TRUE
2313,Ewan  McGregor ,Ewan McGregor,1,TRUE
2314,John hawkes,John Hawkes,1,TRUE
2317,Mark wahlberg,Mark Wahlberg,1,TRUE
2320,Danny Glover,Danny Glover,1,TRUE
2323,Jim carrey,Jim Carrey,1,TRUE
2326,Brooke shields ,Brooke Shields,1,TRUE
2329,Tea leoni,Tea Leoni,1,TRUE
2332,Sean Connery ,Sean Connery,1,TRUE
2335,David Schwimmer ,David Schwimmer,1,TRUE
2338,Holly hunter ,Holly Hunter,1,TRUE
2341,Val Kilmer ,Val Kilmer,1,TRUE
2344,John Malkovich ,John Malkovich,1,TRUE
2347,Orlando Bloome,Orlando Bloom,0.998,TRUE
2350,Juliette Binoche,Juliette Binoche,1,TRUE
2353,Adrien brody,Adrien Brody,1,TRUE
2356,Jack Nicholson ,Jack Nicholson,1,TRUE
2359,Guy peirce,Guy Pearce,0.92,TRUE
2362,Bradley Cooper ,Bradley Cooper,1,TRUE
2364,Kenneth Branaugh,Kenneth Branagh,0.996,TRUE
2367,Debora winger ,Debra Winger,0.922,TRUE
2370,Kathy bates,Kathy Bates,1,TRUE
2373,Zach Galifianakis ,Zach Galifianakis,1,TRUE
2376,Kevin spacey,Kevin Spacey,1,TRUE
2379,,Goldie Hawn,0,FALSE
2381,Sally Fields,Sally Fields,1,TRUE
2384,Elijah Wood,Elijah Wood,1,TRUE
2387,Sharon Stone,Sharon Stone,1,TRUE
2390,Guy Peirce,Guy Pearce,0.973,TRUE
2393,Ellen Barkin,Ellen Barkin,1,TRUE
2396,Sean Penn,Sean Penn,1,TRUE
2399,Leonardo DeCapprio,Leonardo DiCaprio,0.956,TRUE
2402,Tom Hanks,Tom Hanks,1,TRUE
2405,Alan Arkin,Alan Arkin,1,TRUE
2408,Willem Defoe,Willem Dafoe,0.971,TRUE
2411,MIchelle Pfiffer,Michelle Pfeiffer,0.923,TRUE
2414,Harrison Ford,Harrison Ford,1,TRUE
2417,Sean Connery,Sean Connery,1,TRUE
2420,Jane Fonda,Jane Fonda,1,TRUE
2423,Cameron Diaz,Cameron Diaz,1,TRUE
2426,Jeremy Renner,Jeremy Renner,1,TRUE
2429,Tim Blake Nelson,Tim Blake Nelson,1,TRUE
2432,Dustin Hoffman,Dustin Hoffman,1,TRUE
2435,Clint Eastwood,Clint Eastwood,1,TRUE
2438,Jeffrey Wright,Jeffrey Wright,1,TRUE
2441,Selma Hyeck,Salma Hayek,0.856,TRUE
2444,David Hasselhoff,David Hasselhoff,1,TRUE
2447,Jon Voight,Jon Voight,1,TRUE
2450,Anna Paquin,Anna Paquin,1,TRUE
2453,Liam Neeson,Liam Neeson,1,TRUE
2456,Jeff Goldblum,Jeff Goldblum,1,TRUE
2459,David Spade,David Spade,1,TRUE
2462,Ben Stiller,Ben Stiller,1,TRUE
2465,Rosie Perez,Rosie Perez,1,TRUE
2468,Javier Bardem,Javier Bardem,1,TRUE
2471,Mike Myers,Mike Myers,1,TRUE
2474,Rob Lowe,Rob Lowe,1,TRUE
2315,Charlie Sheene,Charlie Sheen,0.998,TRUE
2318,Penelope Cruze,Salma Hayek,0.385,FALSE
2321,Leonardo de caprio ,Leonardo DiCaprio,0.898,TRUE
2324,Ben Affleck ,Ben Affleck,1,TRUE
2327,Jim Balushi,Jim Belushi,0.967,TRUE
2330,Morgan  freeman ,Morgan Freeman,1,TRUE
2333,Martin Lawrence ,Martin Lawrence,1,TRUE
2336,Robin Williams ,Robin Williams,1,TRUE
2339,Rachel MacAdams,Rachel McAdams,0.967,TRUE
2342,Al Pacino ,Al Pacino,1,TRUE
2345,Kim basinger,Kim Basinger,1,TRUE
2348,Jodie foster ,Jodie Foster,1,TRUE
2351,Jeremy irons,Jeremy Irons,1,TRUE
2354,Brian cox,Brian Cox,1,TRUE
2357,Ellen page,Ellen Page,1,TRUE
2360,John Goodman ,John Goodman,1,TRUE
2363,Ed burns,Ed Burns,1,TRUE
2365,Kelly Macadams,Kelly MacDonald,0.936,TRUE
2368,Brad Pitt ,Brad Pitt,1,TRUE
2371,Paul giamatti,Paul Giamatti,1,TRUE
2374,Miranda Richardson,Miranda Richardson,1,TRUE
2377,Philip seymour hoffman,Philip Seymour Hoffman,1,TRUE
2382,Peter Gallagher,Peter Gallagher,1,TRUE
2385,Ben Afleck,Ben Affleck,0.986,TRUE
2388,Elliot Gould,Elliott Gould,0.986,TRUE
2391,Sam Worthington,Sam Worthington,1,TRUE
2394,Rene Russo,Rene Russo,1,TRUE
2397,Anthony Quinn,Anthony Quinn,1,TRUE
2400,Adrien Brody,Adrien Brody,1,TRUE
2403,Jodie Foster,Jodie Foster,1,TRUE
2406,Nathan Lane,Nathan Lane,1,TRUE
2409,Jack Black,Jack Black,1,TRUE
2412,Michael Shannon,Michael Shannon,1,TRUE
2415,Jamie Bell,Jamie Bell,1,TRUE
2418,Tom Cruise,Tom Cruise,1,TRUE
2421,Willem Hurt,William Hurt,0.943,TRUE
2424,Catherine Zeta-Jones,Catherine Zeta-Jones,1,TRUE
2427,Christopher Walken,Christopher Walken,1,TRUE
2430,George Leguzamo,John Leguizamo,0.727,FALSE
2433,Patricia Arquette,Patricia Arquette,1,TRUE
2436,Alfred Molina,Alfred Molina,1,TRUE
2439,Ralph Finnes,Ralph Fiennes,0.979,TRUE
2442,Burt Reynolds,Burt Reynolds,1,TRUE
2445,,Jonah Hill,0,FALSE
2448,Helen Hunt,Helen Hunt,1,TRUE
2451,Mary Louise Parker,Mary-Louise Parker,0.925,TRUE
2454,Winona Ryder,Winona Ryder,1,TRUE
2457,Rene Zelwegger,Renee Zellweger,0.875,TRUE
2460,Alan Aldas,Alan Alda,0.997,TRUE
2463,Ethan Hawke,Ethan Hawke,1,TRUE
2466,Martin Sheen,Martin Sheen,1,TRUE
2469,Brendan Fraiser,Brendan Fraser,0.994,TRUE
2472,Peter Cayote,Peter Coyote,0.964,TRUE
2475,Hugh Grant,Hugh Grant,1,TRUE
2316,Woody allen ,Woody Allen,1,TRUE
2319,Christopher Walken ,Christopher Walken,1,TRUE
2322,Uma Thurman ,Uma Thurman,1,TRUE
2325,Matthew broderick,Matthew Broderick,1,TRUE
2328,Jeffrey rush,Geoffrey Rush,0.868,TRUE
2331,Renee zelwiger,Renee Zellweger,0.915,TRUE
2334,Ben Kingsley ,Ben Kingsley,1,TRUE
2337,Alec Baldwin ,Alec Baldwin,1,TRUE
2340,Chris Cooper ,Chris Cooper,1,TRUE
2343,Emma stone,Emma Stone,1,TRUE
2346,Joseph Gordon levit,Joseph Gordon-Levitt,0.97,TRUE
2349,Jerry Lewis,Jerry Lewis,1,TRUE
2352,Sam shepard,Sam Shepard,1,TRUE
2355,Joan cusack,Joan Cusack,1,TRUE
2358,Penelope Cruze,Penelope Cruz,0.998,TRUE
2361,Cate Blanchett ,Cate Blanchett,1,TRUE
2366,Kevin James,Kevin James,1,TRUE
2369,Peter O'toole,Peter O'toole,1,TRUE
2372,Gwenneth Paltrow,Gwyneth Paltrow,0.923,TRUE
2375,Lucy liu,Lucy Liu,1,TRUE
2378,Hugh Grant ,Hugh Grant,1,TRUE
2380,Frank Langella,Frank Langella,1,TRUE
2383,Colin Firth,Colin Firth,1,TRUE
2386,Steve Martin,Steve Martin,1,TRUE
2389,Ed Haris,Ed Harris,0.985,TRUE
2392,Helena Bonham-Carter,Helena Bonham Carter,0.988,TRUE
2395,Bridgette Fonda,Bridget Fonda,0.976,TRUE
2398,Mell Gibson,Mel Gibson,0.978,TRUE
2401,Kelly McAdams,Kelly MacDonald,0.882,TRUE
2404,Bradley Cooper,Bradley Cooper,1,TRUE
2407,Arnold Schwartzenegger,Arnold Schwarzenegger,0.994,TRUE
2410,Catherine Keener,Catherine Keener,1,TRUE
2413,Sandra Bullock,Sandra Bullock,1,TRUE
2416,Robert Downey Jr.,Robert Downey Jr.,1,TRUE
2419,Elizabeth Shue,Elisabeth Shue,0.963,TRUE
2422,Naomi Watts,Naomi Watts,1,TRUE
2425,Demi Moore,Demi Moore,1,TRUE
2428,Gene Hackman,Gene Hackman,1,TRUE
2431,John Cusack,John Cusack,1,TRUE
2434,Christopher Plumber,Christopher Plummer,0.994,TRUE
2437,Chris Rock,Chris Rock,1,TRUE
2440,Gabriel Bryne,Gabriel Byrne,0.992,TRUE
2443,Ryan Reynolds,Ryan Reynolds,1,TRUE
2446,Andy Garcia,Andy Garcia,1,TRUE
2449,Joseph Gordon Levitt,Joseph Gordon-Levitt,0.988,TRUE
2452,Jerry Lewis,Jerry Lewis,1,TRUE
2455,Jennifer Connely,Jennifer Connelly,0.998,TRUE
2458,Billy Crystal,Billy Crystal,1,TRUE
2461,Ed Burns,Ed Burns,1,TRUE
2464,Jennifer Jason Leigh,Jennifer Jason Leigh,1,TRUE
2467,Rosana Arquette,Rosanna Arquette,0.986,TRUE
2470,Morgan Freeman,Morgan Freeman,1,TRUE
2473,Francis Mcdormand,Frances McDormand,0.898,TRUE
2476,Jason Bateman,Jason Bateman,1,TRUE
2477,Danny Devito,Danny DeVito,1,TRUE
2478,Ellen Degeneres,Ellen Degeneres,1,TRUE
2479,Kate Winslet,Kate Winslet,1,TRUE
2480,Jackie Chan ,Jackie Chan,1,TRUE
2481,Jackie Chan ,Ben Stiller,0.396,FALSE
2482,Sharon stone ,Sharon Stone,1,TRUE
2483,Ben Kingsley ,Ben Kingsley,1,TRUE
2484,Joakim Phoenix ,Joaquin Phoenix,0.827,FALSE
2485,Josh brolin,Josh Brolin,1,TRUE
2486,Jeremy irons ,Jeremy Irons,1,TRUE
2487,Tom Cruise ,Tom Cruise,1,TRUE
2488,Andie MacDowell ,Andie MacDowell,1,TRUE
2489,Kevin Costner ,Kevin Costner,1,TRUE
2490,Paul Giamatti ,Paul Giamatti,1,TRUE
2491,Gene Hackman ,Gene Hackman,1,TRUE
2492,Marion Cotillard ,Marion Cotillard,1,TRUE
2493,John Turturro ,John Turturro,1,TRUE
2494,Joan  Cusack ,Joan Cusack,1,TRUE
2495,Kevin James ,Kevin James,1,TRUE
2496,Blythe danner ,Blythe Danner,1,TRUE
2497,Liev Schreiber ,Liev Schreiber,1,TRUE
2498,David ducovney ,David Duchovny,0.931,TRUE
2501,Chris Rock ,Chris Rock,1,TRUE
2504,John c. Rilley ,John C. Reilly,0.937,TRUE
2507,Will Smith ,Will Smith,1,TRUE
2510,Oliver Platt ,Oliver Platt,1,TRUE
2513,Laura linney,Laura Linney,1,TRUE
2516,Paul Newman ,Paul Newman,1,TRUE
2519,Jack Nicholson ,Jack Nicholson,1,TRUE
2522,Jerry Lewis ,Jerry Lewis,1,TRUE
2525,Brooke shields ,Brooke Shields,1,TRUE
2528,Laura  dern,Laura Dern,1,TRUE
2531,Harrison Ford ,Harrison Ford,1,TRUE
2534,Uma Thurman ,Uma Thurman,1,TRUE
2537,Scarlett Johansen ,Scarlett Johansson,0.988,TRUE
2540,Alec Baldwin ,Alec Baldwin,1,TRUE
2543,Blair underwood ,Blair Underwood,1,TRUE
2546,Anne Hathaway ,Anne Hathaway,1,TRUE
2549,Sam Worthington ,Sam Worthington,1,TRUE
2552,Meg Ryan ,Meg Ryan,1,TRUE
2555,Dennis learey,Denis Leary,0.918,TRUE
2558,Al Pacino ,Al Pacino,1,TRUE
2561,Christian bale ,Christian Bale,1,TRUE
2564,Elliot Gould ,Elliott Gould,0.972,TRUE
2567,Christopher plummer,Christopher Plummer,1,TRUE
2570,Amanda Peet ,Amanda Peet,1,TRUE
2573,Cathy Bates ,Kathy Bates,0.914,TRUE
2576,Robert De Niro ,Robert De Niro,1,TRUE
2579,Kim bassinger,Kim Basinger,0.945,TRUE
2499,Jake  Gyllenhaal ,Jake Gyllenhaal,1,TRUE
2502,Richard gere ,Richard Gere,1,TRUE
2505,Benicio del torro ,Benicio Del Toro,0.936,TRUE
2508,Leonardo de caprio ,Leonardo DiCaprio,0.898,TRUE
2511,Morgen Freeman ,Morgan Freeman,0.912,TRUE
2514,Bradley Cooper ,Bradley Cooper,1,TRUE
2517,Winona Ryder ,Winona Ryder,1,TRUE
2520,Jessica Chastain ,Jessica Chastain,1,TRUE
2523,Kurt Russell ,Kurt Russell,1,TRUE
2526,Cate Blanchett ,Cate Blanchett,1,TRUE
2529,Viggo Mortensen ,Viggo Mortensen,1,TRUE
2532,Kate Hudson ,Kate Hudson,1,TRUE
2535,Michael fassbender,Michael Fassbender,1,TRUE
2538,Kiefer Sutherland ,Kiefer Sutherland,1,TRUE
2541,Colin firth,Colin Firth,1,TRUE
2544,Francis macdormand,Frances McDormand,0.852,TRUE
2547,Jonas voit,Jon Voight,0.86,TRUE
2550,Eddie Murphy ,Eddie Murphy,1,TRUE
2553,Ethan Hawke ,Ethan Hawke,1,TRUE
2556,Martin Lawrence ,Martin Lawrence,1,TRUE
2559,Dennis Miller ,Dennis Miller,1,TRUE
2562,Hope Davis ,Hope Davis,1,TRUE
2565,Miranda Richardson ,Miranda Richardson,1,TRUE
2568,Tracy Ullman ,Tracey Ullman,0.964,TRUE
2571,Robert Downey jr,Robert Downey Jr.,0.989,TRUE
2574,Edward Norton ,Edward Norton,1,TRUE
2577,Emma stone ,Emma Stone,1,TRUE
2500,Jennifer Lopez ,Jennifer Lopez,1,TRUE
2503,Billy crystal ,Billy Crystal,1,TRUE
2506,Jamie Foxx ,Jamie Foxx,1,TRUE
2509,Steve Martin ,Steve Martin,1,TRUE
2512,James McAvoy ,James McAvoy,1,TRUE
2515,Matthew Broderick ,Matthew Broderick,1,TRUE
2518,Jude law ,Jude Law,1,TRUE
2521,Jennifer Lawrence ,Jennifer Lawrence,1,TRUE
2524,Jeremy Renner ,Jeremy Renner,1,TRUE
2527,Brenden Frasier ,Brendan Fraser,0.923,TRUE
2530,Nathan lane ,Nathan Lane,1,TRUE
2533,Daniel day Lewis ,Daniel Day-Lewis,0.941,TRUE
2536,Tim Blake Nelson ,Tim Blake Nelson,1,TRUE
2539,Emma Watson ,Emma Watson,1,TRUE
2542,Vince Vaughan ,Vince Vaughn,0.99,TRUE
2545,David Hasselhoff ,David Hasselhoff,1,TRUE
2548,Ryan gosling,Ryan Gosling,1,TRUE
2551,Hugh Jackman ,Hugh Jackman,1,TRUE
2554,Chris Cooper ,Chris Cooper,1,TRUE
2557,Marisa Tomei ,Marisa Tomei,1,TRUE
2560,John Travolta ,John Travolta,1,TRUE
2563,Hugh Grant ,Hugh Grant,1,TRUE
2566,Sally fields,Sally Fields,1,TRUE
2569,Jim Carey ,Jim Carrey,0.98,TRUE
2572,Willem Dafoe ,Willem Dafoe,1,TRUE
3289,Liam Neeson,Liam Neeson,1,TRUE
2575,Will Farrell ,Will Ferrell,0.941,TRUE
2578,Toni Colette ,Toni Collette,0.98,TRUE
2580,Adrien Brody,Adrien Brody,1,TRUE
2581,Eddie murphy,Eddie Murphy,1,TRUE
2582,Tim Robbins,Tim Robbins,1,TRUE
2583,Robert Downey Jr.,Robert Downey Jr.,1,TRUE
2584,George Lopez,George Lopez,1,TRUE
2585,Miranda Richardson,Miranda Richardson,1,TRUE
2586,Jamie Bell,Jamie Bell,1,TRUE
2587,Chris Cooper,Chris Cooper,1,TRUE
2588,Paul Dano,Paul Dano,1,TRUE
2589,Meg Ryan,Meg Ryan,1,TRUE
2590,Christopher Walken,Christopher Walken,1,TRUE
2591,David Schwimmer,David Schwimmer,1,TRUE
2592,Catherine Zeta-Jones,Catherine Zeta-Jones,1,TRUE
2593,Christoph Waltz,Christoph Waltz,1,TRUE
2594,Daniel Day Lewis,Daniel Day-Lewis,0.984,TRUE
2595,Catherine Keener,Catherine Keener,1,TRUE
2596,Holly Hunter,Holly Hunter,1,TRUE
2597,Mckauley Caulkin,Macaulay Culkin,0.851,TRUE
2598,Liev Schriber,Liev Schreiber,0.982,TRUE
2599,Sigorney Weaver,Sigourney Weaver,0.984,TRUE
2600,Donald Sutherland,Donald Sutherland,1,TRUE
2601,Tim Burton,Tim Blake Nelson,0.802,FALSE
2602,Elizabeth Perkins,Elizabeth Perkins,1,TRUE
2603,Martin Sheen,Martin Sheen,1,TRUE
2604,Clive Owen,Clive Owen,1,TRUE
2605,Guy Peirce,Guy Pearce,0.973,TRUE
2606,Emma Watson,Emma Watson,1,TRUE
2607,Anthony Quinn,Anthony Quinn,1,TRUE
2608,Mark Wahlburg,Mark Wahlberg,0.988,TRUE
2609,Michael Douglas,Michael Douglas,1,TRUE
2610,Michael Shannon,Michael Shannon,1,TRUE
2611,Amy Adams,Amy Adams,1,TRUE
2612,Meryl Streep,Meryl Streep,1,TRUE
2613,Colin Firth,Colin Firth,1,TRUE
2614,Maggie Gyllenhaal,Maggie Gyllenhaal,1,TRUE
2615,John Travolta,John Travolta,1,TRUE
2616,Greg Kineer,Greg Kinnear,0.971,TRUE
2617,Ian Holm,Ian Holm,1,TRUE
2618,Sam Shepard,Sam Shepard,1,TRUE
2619,Laura Linney,Laura Linney,1,TRUE
2620,Brendan Frasier,Brendan Fraser,0.996,TRUE
2621,John C. Rielly,John C. Reilly,0.991,TRUE
2622,Sharon Stone,Sharon Stone,1,TRUE
2623,Joseph Gordon Levitt,Joseph Gordon-Levitt,0.988,TRUE
2624,Jonny Depp,Johnny Depp,0.975,TRUE
2625,Kevin Spacey,Kevin Spacey,1,TRUE
2626,Rickey Gervais,Ricky Gervais,0.946,TRUE
2627,Havier Bardem,Javier Bardem,0.949,TRUE
2628,Peter Sarsguard,Peter Sarsgaard,0.988,TRUE
2631,Anette Benning,Annette Bening,0.937,TRUE
2634,Leonardo De Caprio,Leonardo DiCaprio,0.956,TRUE
2637,Laura Dern,Laura Dern,1,TRUE
2640,Peter Coyote,Peter Coyote,1,TRUE
2643,Willem Defoe,Willem Dafoe,0.971,TRUE
2646,Steve Carrel,Steve Carell,0.986,TRUE
2649,Ralph Finnes,Ralph Fiennes,0.979,TRUE
2629,Emily Blunt,Emily Blunt,1,TRUE
2632,Kenneth Branaugh,Kenneth Branagh,0.996,TRUE
2635,Alec Baldwin,Alec Baldwin,1,TRUE
2638,Marion Cottelard,Marion Cotillard,0.969,TRUE
2641,Michael J. Fox,Michael J. Fox,1,TRUE
2644,Kevin James,Kevin James,1,TRUE
2647,Zack Galifanakis,Zach Galifianakis,0.914,TRUE
2630,Judy Dench,Judi Dench,0.953,TRUE
2633,Sean Penn,Sean Penn,1,TRUE
2636,Tilda Swinton,Tilda Swinton,1,TRUE
2639,Edward Nortno,Edward Norton,0.996,TRUE
2642,Dennis MIller,Dennis Miller,1,TRUE
2645,Jennifer Lopez,Jennifer Lopez,1,TRUE
2648,Geoffrey Rush,Geoffrey Rush,1,TRUE
2650,Michael Fasbender,Michael Fassbender,0.993,TRUE
2651,Peter Ghallager,Peter Gallagher,0.976,TRUE
2652,Al Pacino,Al Pacino,1,TRUE
2653,Dennis Hopper,Dennis Hopper,1,TRUE
2654,Bill Pullman,Bill Pullman,1,TRUE
2655,Jeff Bridges,Jeff Bridges,1,TRUE
2656,Steven Segal,Steven Seagal,0.984,TRUE
2657,Kelly MacDonald,Kelly MacDonald,1,TRUE
2658,Gabriel Byrne,Gabriel Byrne,1,TRUE
2659,Reese Witherspoon,Reese Witherspoon,1,TRUE
2660,Paul Newman,Paul Newman,1,TRUE
2661,Lindsay Lowhan,Lindsay Lohan,0.993,TRUE
2662,Albert Brooks,Albert Brooks,1,TRUE
2663,Jimmy Smits,Jimmy Smits,1,TRUE
2664,Jennifer Connely,Jennifer Connelly,0.998,TRUE
2665,Paul Giamatti,Paul Giamatti,1,TRUE
2666,Cate Blanchett,Cate Blanchett,1,TRUE
2667,Liam Neeson,Liam Neeson,1,TRUE
2668,Emma STone,Emma Stone,1,TRUE
2669,Roy Scheider,Roy Scheider,1,TRUE
2670,Elizabeth Shue,Elisabeth Shue,0.963,TRUE
2671,Kurt Russell,Kurt Russell,1,TRUE
2672,Daryl Hannah,Daryl Hannah,1,TRUE
2673,Kristin Scott Thomas,Kristin Scott Thomas,1,TRUE
2674,Dan Akyroyd,Dan Aykroyd,0.983,TRUE
2675,Sissy Spaseck,Sissy Spacek,0.984,TRUE
2676,Jamie Foxx,Jamie Foxx,1,TRUE
2677,Tracy Ullman,Tracey Ullman,0.982,TRUE
2678,Halley Berry,Halle Berry,0.948,TRUE
2679,Jennifer Jason Lee,Jennifer Jason Leigh,0.99,TRUE
2680,Jamie Lee Curtis,Jamie Lee Curtis,1,TRUE
2681,Michael Shannon,Michael Shannon,1,TRUE
2682,Chevy Chase,Chevy Chase,1,TRUE
2683,Minni Driver,Minnie Driver,0.933,TRUE
2684,Rosie Lopez,Rosie Perez,0.917,TRUE
2685,Maggie Gyllenhaal,Maggie Gyllenhaal,1,TRUE
2686,Dennis Miller,Dennis Miller,1,TRUE
2687,Hugh Grant,Hugh Grant,1,TRUE
2688,Lucy Liu,Lucy Liu,1,TRUE
2689,Liv Tyler,Liv Tyler,1,TRUE
2690,Reese WItherspoon,Reese Witherspoon,1,TRUE
2691,Emma Thompson,Emma Thompson,1,TRUE
2692,Sally Fields,Sally Fields,1,TRUE
2693,Brad Pitt,Brad Pitt,1,TRUE
2694,Ben Afleck,Ben Affleck,0.986,TRUE
2695,Bill PUllman,Bill Pullman,1,TRUE
2696,Gary Oldman,Gary Oldman,1,TRUE
2697,Jodie Foster,Jodie Foster,1,TRUE
2698,Marisa Tomei,Marisa Tomei,1,TRUE
2699,Richard Guere,Richard Gere,0.992,TRUE
2700,Al Pacino,Al Pacino,1,TRUE
2701,Will Smith,Will Smith,1,TRUE
2702,Alec Baldwin,Alec Baldwin,1,TRUE
2703,Ben Kingsley,Ben Kingsley,1,TRUE
2704,Jennifer Lopez,Jennifer Lopez,1,TRUE
2705,Halie Berry,Halle Berry,0.956,TRUE
2706,Selma Hyeck,Salma Hayek,0.856,TRUE
2707,Kirstin Dunst,Kirsten Dunst,0.968,TRUE
2708,Mat Damon,Matt Damon,0.977,TRUE
2709,Albert Brooks,Albert Brooks,1,TRUE
2710,Peter Coyote,Peter Coyote,1,TRUE
2711,Isabella Rossellini,Isabella Rossellini,1,TRUE
2712,Guy Peirce,Guy Pearce,0.973,TRUE
2713,Jeremy Irons,Jeremy Irons,1,TRUE
2714,Russel Crowe,Russell Crowe,0.986,TRUE
2715,Naomi Watts,Naomi Watts,1,TRUE
2716,Mike Myers,Mike Myers,1,TRUE
2717,Jesica Chastain,Jessica Chastain,0.911,TRUE
2718,Kathlene Turner,Kathleen Turner,0.987,TRUE
2719,Alan Rickman,Alan Rickman,1,TRUE
2722,Malcolm McDowel,Malcolm McDowell,0.999,TRUE
2725,Juakim Pheonix,Joaquin Phoenix,0.816,FALSE
2730,Charlie sheen,Charlie Sheen,1,TRUE
2733,Sally fields,Sally Fields,1,TRUE
2736,Toni Colette ,Toni Collette,0.98,TRUE
2739,Tom hanks,Tom Hanks,1,TRUE
2742,Brian cox,Brian Cox,1,TRUE
2746,Bill  Cosby ,Bill Cosby,1,TRUE
2749,Val Kilmer ,Val Kilmer,1,TRUE
2752,Ethan Hawke ,Ethan Hawke,1,TRUE
2755,Mickey Rourke ,Mickey Rourke,1,TRUE
2758,Jamie Lee Curtis ,Jamie Lee Curtis,1,TRUE
2761,Nicole Kidman ,Nicole Kidman,1,TRUE
2764,Hope Davis ,Hope Davis,1,TRUE
2767,Barbara Hirshey ,Barbara Hershey,0.951,TRUE
2770,Kristin Scott thomas,Kristin Scott Thomas,1,TRUE
2773,Ryan Gosling,Ryan Gosling,1,TRUE
2776,Edward Norton,Edward Norton,1,TRUE
2779,Mark Ruffalo,Mark Ruffalo,1,TRUE
2782,Jackie Chan,Jackie Chan,1,TRUE
2785,Selma Hyack,Salma Hayek,0.789,FALSE
2788,Liv Tyler,Liv Tyler,1,TRUE
2792,Miranda Richardson,Miranda Richardson,1,TRUE
2795,Peter Coyote,Peter Coyote,1,TRUE
2798,Rickey Gervais,Ricky Gervais,0.946,TRUE
2801,Jennifer ANiston,Jennifer Aniston,1,TRUE
2804,Angelina Joli,Angelina Jolie,0.998,TRUE
2807,Mary Steenburgen,Mary Steenburgen,1,TRUE
2810,Jamie Foxx,Jamie Foxx,1,TRUE
2813,Steve Martin ,Steve Martin,1,TRUE
2816,Rosanna Arquette ,Rosanna Arquette,1,TRUE
2819,Guy peirce ,Guy Pearce,0.9,TRUE
2822,Eddie Murphy ,Eddie Murphy,1,TRUE
2825,Christopher Walken ,Christopher Walken,1,TRUE
2828,Francis mcdormand,Frances McDormand,0.867,TRUE
2829,Jennifer Jason Leigh,Jennifer Jason Leigh,1,TRUE
2832,John Cusack,John Cusack,1,TRUE
2720,Jack Nicholson,Jack Nicholson,1,TRUE
2723,Alec Baldwin,Alec Baldwin,1,TRUE
2726,Kurt Russell,Kurt Russell,1,TRUE
2728,Winona Ryder ,Winona Ryder,1,TRUE
2731,Natalie Portman ,Natalie Portman,1,TRUE
2734,Bradley Cooper ,Bradley Cooper,1,TRUE
2737,Alan Arkin,Alan Arkin,1,TRUE
2740,Jamie bell,Jamie Bell,1,TRUE
2743,Leonardo dicaprio,Leonardo DiCaprio,1,TRUE
2747,Rod stiger ,Roy Scheider,0.626,FALSE
2750,Orlando Bloom ,Orlando Bloom,1,TRUE
2753,George Clooney ,George Clooney,1,TRUE
2756,Richard gere ,Richard Gere,1,TRUE
2759,Marisa Tomei ,Marisa Tomei,1,TRUE
2762,Amy adams,Amy Adams,1,TRUE
2765,Clive owen,Clive Owen,1,TRUE
2768,John hawkes,John Hawkes,1,TRUE
2771,Steve Martin ,Steve Martin,1,TRUE
2774,Elizabeth shue,Elisabeth Shue,0.925,TRUE
2777,Sidney Poitier,Sidney Poitier,1,TRUE
2780,Tim Robbins,Tim Robbins,1,TRUE
2783,Steve Correl,Steve Carell,0.954,TRUE
2786,Anthony Hopkins,Anthony Hopkins,1,TRUE
2789,Jon Hamm,Jon Hamm,1,TRUE
2793,Sandra Bullock,Sandra Bullock,1,TRUE
2796,Anthony Quinn,Anthony Quinn,1,TRUE
2799,Martin Sheen,Martin Sheen,1,TRUE
2802,Gary Sinese,Gary Sinise,0.974,TRUE
2805,Joan Cusack,Joan Cusack,1,TRUE
2808,Kirstin Dunst,Kirsten Dunst,0.968,TRUE
2811,Laura  dern ,Laura Dern,1,TRUE
2814,Ryan Reynolds ,Ryan Reynolds,1,TRUE
2817,Sean Penn ,Sean Penn,1,TRUE
2820,Scarlett Johansen ,Scarlett Johansson,0.988,TRUE
2823,Robert Downey  jr,Robert Downey Jr.,0.986,TRUE
2826,Daniel Radcliffe ,Daniel Radcliffe,1,TRUE
2831,Roy Schider,Roy Scheider,0.976,TRUE
2721,Danny GLover,Danny Glover,1,TRUE
2724,Burt Reynolds,Burt Reynolds,1,TRUE
2727,Kenneth Branaugh,Kenneth Branagh,0.996,TRUE
2729,Sigourney weaver,Sigourney Weaver,1,TRUE
