index,answer,correct_answer,score,correct
1282,Martin Lawrence,Martin Lawrence,1,TRUE
1283,Timothy Dalton,Timothy Dalton,1,TRUE
1284,Edward  Norten,Edward Norton,0.963,TRUE
1285,Hugh Jackman,Hugh Jackman,1,TRUE
1286,Dustin Hoffman,Dustin Hoffman,1,TRUE
1287,Antonia Banderas,Antonio Banderas,0.918,TRUE
1288,Penelopi Cruise,Penelope Cruz,0.925,TRUE
1289,David Spade,David Spade,1,TRUE
1290,John Goodman,John Goodman,1,TRUE
1291,Paul Rudd,Paul Rudd,1,TRUE
1294,Woody Allen,Woody Allen,1,TRUE
1297,Tilda Swinton,Tilda Swinton,1,TRUE
1300,Jude Law,Jude Law,1,TRUE
1303,Marion Cotillard,Marion Cotillard,1,TRUE
1306,Gweneth Paltrow,Gwyneth Paltrow,0.941,TRUE
1309,Kenneth Branaugh,Kenneth Branagh,0.996,TRUE
1313,,Ewan McGregor,0,FALSE
1316,Richard Gere,Richard Gere,1,TRUE
1319,Jamie Lee Curtis,Jamie Lee Curtis,1,TRUE
1322,Reese WItherspoone,Reese Witherspoon,0.965,TRUE
1325,Val Kilmer,Val Kilmer,1,TRUE
1328,Rosie Perez,Rosie Perez,1,TRUE
1331,Joe Pesce,Joe Pesci,0.985,TRUE
1334,Jeff Goldblum,Jeff Goldblum,1,TRUE
1337,Joaquim Phoenix,Joaquin Phoenix,0.93,TRUE
1340,Alec Baldwin,Alec Baldwin,1,TRUE
1343,Meg Ryan,Meg Ryan,1,TRUE
1292,Naomi Watts,Naomi Watts,1,TRUE
1295,Elliott Guild,Elliott Gould,0.984,TRUE
1298,Rickey Gervais,Ricky Gervais,0.946,TRUE
1301,Jamie Lee Curtis,Jamie Lee Curtis,1,TRUE
1304,Kate Hudson,Kate Hudson,1,TRUE
1307,Ellen Degeneris,Ellen Degeneres,0.994,TRUE
1310,Barbara Hershey,Barbara Hershey,1,TRUE
1312,Jimmy Smits,Jimmy Smits,1,TRUE
1315,Sandra Bullock,Sandra Bullock,1,TRUE
1318,Cate Blanchett,Cate Blanchett,1,TRUE
1321,Robin Williams,Robin Williams,1,TRUE
1324,Tom Wilkenson,Tom Wilkinson,0.98,TRUE
1327,Laura Linney,Laura Linney,1,TRUE
1330,Patricia Arkette,Patricia Arquette,0.979,TRUE
1333,Adam Sandler,Adam Sandler,1,TRUE
1336,Blair Underwood,Blair Underwood,1,TRUE
1339,Owen Wilson,Owen Wilson,1,TRUE
1342,Julianne Moore,Julianne Moore,1,TRUE
1293,James Gandolfini,James Gandolfini,1,TRUE
1296,Elijah Wood,Elijah Wood,1,TRUE
1299,Gary Oldman,Gary Oldman,1,TRUE
1302,Kevin Costner,Kevin Costner,1,TRUE
1305,Francis McDormand,Frances McDormand,0.972,TRUE
1308,Jackie Chan,Jackie Chan,1,TRUE
1311,Leiv Schriber,Liev Schreiber,0.93,TRUE
1314,Woody Allen,Woody Allen,1,TRUE
1317,Rickey Jervais,Ricky Gervais,0.928,TRUE
1320,Emma Stone,Emma Stone,1,TRUE
1323,Kristin Scott Thomas,Kristin Scott Thomas,1,TRUE
1326,Kenneth Branaugh,Kenneth Branagh,0.996,TRUE
1329,Clint Eastwood,Clint Eastwood,1,TRUE
1332,Dennis Hopper,Dennis Hopper,1,TRUE
1335,Jeff Daniles,Jeff Daniels,0.993,TRUE
1338,Don Cheetle,Don Cheadle,0.942,TRUE
1341,Naomi Watts,Naomi Watts,1,TRUE
1344,Keano Reeves,Keanu Reeves,0.963,TRUE
1345,Steve Martin,Steve Martin,1,TRUE
1346,Kate Wislett,Kate Winslet,0.977,TRUE
