0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,target,answer,correct_answer,score,target_as
74.0,117.0,108.0,105.0,97.0,32.0,82.0,111.0,98.0,101.0,114.0,116.0,115.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,176.0,Julia Roberts,Julia Roberts,1.0,0.0
67.0,104.0,97.0,108.0,105.0,122.0,101.0,32.0,84.0,104.0,101.0,114.0,111.0,110.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,98.2,48.0,Chalize Theron,Charlize Theron,0.982,0.0
68.0,97.0,110.0,110.0,121.0,32.0,68.0,101.0,118.0,105.0,116.0,111.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,65.0,Danny Devito,Danny DeVito,1.0,0.0
74.0,101.0,110.0,105.0,102.0,101.0,114.0,32.0,65.0,110.0,105.0,115.0,116.0,111.0,110.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,87.5,143.0,Jenifer Aniston,Jennifer Aniston,0.875,0.0
74.0,111.0,104.0,110.0,32.0,84.0,114.0,97.0,118.0,111.0,108.0,116.0,97.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,166.0,John Travolta,John Travolta,1.0,0.0
86.0,105.0,110.0,99.0,101.0,32.0,86.0,97.0,117.0,103.0,104.0,110.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,314.0,Vince Vaughn,Vince Vaughn,1.0,0.0
76.0,97.0,117.0,114.0,97.0,32.0,68.0,101.0,114.0,110.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,197.0,Laura Dern,Laura Dern,1.0,0.0
75.0,114.0,105.0,115.0,116.0,101.0,110.0,32.0,83.0,99.0,111.0,116.0,116.0,32.0,84.0,104.0,111.0,109.0,97.0,115.0,32.0,32.0,32.0,32.0,97.5,194.0,Kristen Scott Thomas,Kristin Scott Thomas,0.975,0.0
80.0,101.0,116.0,101.0,114.0,32.0,79.0,39.0,116.0,111.0,108.0,108.0,101.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,98.8,250.0,Peter O'tolle,Peter O'toole,0.988,0.0
68.0,97.0,110.0,32.0,65.0,99.0,107.0,101.0,114.0,111.0,105.0,100.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,91.6,61.0,Dan Ackeroid,Dan Aykroyd,0.9159999999999999,0.0
